"","Paradigm","Mouse","Behavior","E.phy","YokedTo","Conflict","APA","Tube","Slice","Punch","notes.mouse","photos","notes.slice","notes.punch","Date","time","Slice.collector","Punch.Collector","SliceSize","Punchsize","location","RNAisolationdate","RNAisolator","location.1","best.location","samples","jobnumber","RNAseqID"
"11","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HP",4,"CA1","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"12","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HQ",4,"CA3","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"13","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HR",3,"CA3","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"14","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HS",2,"CA3","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"15","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HT",1,"CA3","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"16","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HU",1,"CA2","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"17","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HV",3,"CA2","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"18","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HF 2",1,"DG","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_DG_S"
"19","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HG 2",2,"DG","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_DG_D"
"20","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HH 2",3,"DG","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"SORT OF ABOVE CELL LAYER","","","",NA,NA,"",""
"21","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HI 2",3,"DG","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"CELL LAYER AND BELOW","","","",NA,NA,"",""
"22","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HJ 2",4,"DG","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_DG_D"
"23","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HK 2",4,"CA1","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_CA1_S"
"24","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HL 2",3,"CA1","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_CA1_D"
"25","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HM 2",2,"CA1","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"JA16268","142C_CA1_D"
"26","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HN 2",1,"CA1","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"27","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HO 2",3,"CA4","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"28","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HP 2",4,"CA4","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"29","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HQ 2",4,"CA3","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"30","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HR 2",3,"CA3","trained","slice photos","","","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"31","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HS 2",3,"CA2","trained","slice photos","","PHOTOS","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"32","Training + Training","15-142C","Good","NG","15-142D","NoConflict","Trained","HT 2",4,"CA2","trained","slice photos","","PHOTOS","7/6/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"33","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","HW",2,"CA1","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"34","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","HX",3,"DG","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"35","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","HY",2,"CA1","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"36","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","HZ",1,"CA1","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"37","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IA",1,"CA2","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"38","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IB",4,"CA1","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"39","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IC",4,"CA2","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"40","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","ID",4,"CA3","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"41","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IE",1,"CA3","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"42","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IF",2,"CA3","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"43","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IG",3,"CA3","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"44","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IH",4,"other","yoked to conflict","","","CA3 CA4","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"45","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","II",1,"CA4","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"46","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IJ",2,"CA4","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"47","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IK",3,"CA4","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"48","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IL",4,"DG","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"49","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IM",1,"DG","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"50","Yoked + Conflict","15-142B","Good","NG","15-142A","Conflict","Yoked","IN",2,"DG","yoked to conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"51","Yoked + Training","15--142D","Good","NG","15-142C","NoConflict","Yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",""
"52","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DP",1,"DG","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"53","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DQ",1,"CA1","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/28/15","RMH","",NA,NA,"",""
"54","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DR",1,"CA3","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"55","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DS",1,"CA2","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"56","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DT",2,"DG","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"57","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DU",3,"DG","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"58","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DV",3,"CA1","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"59","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DX",2,"CA1","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"60","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DY",2,"CA3","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/28/15","RMH","",NA,NA,"",""
"61","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","DZ",3,"CA3","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"62","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","EA",3,"CA2","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","RMH","",NA,NA,"",""
"63","Training + Conflict","15-140A","Good","No","15-140B","Conflict","Trained","EB",2,"CA2","mouse not used for ephys","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/28/15","RMH","",NA,NA,"",""
"64","Training + Conflict","15-141A","Bad","No","15-141B","Conflict","Trained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",""
"65","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","ET",1,"DG","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/24/15","RMH","bad",NA,NA,"",""
"66","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EU",2,"DG","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","BK","",NA,NA,"",""
"67","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EV",3,"DG","trained","","slice three is best","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","BK","",NA,NA,"",""
"68","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EW",3,"CA1","trained","","slice three is best","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","","",NA,NA,"",""
"69","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EX",2,"CA1","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","BK","",NA,NA,"",""
"70","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EY",1,"CA1","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/24/15","RMH","",NA,NA,"",""
"71","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","EZ",1,"CA3","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/24/15","RMH","",NA,NA,"",""
"72","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","FA",2,"CA3","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","BK","",NA,NA,"",""
"73","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","FB",3,"CA3","trained","","slice three is best","","6/19/15","","MK","RMH","300",250,"outside cell body","8/31/15","BK","",NA,NA,"",""
"74","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","FC",3,"CA2","trained","","slice three is best","","6/19/15","","MK","RMH","300",250,"outside cell body","","BK","",NA,NA,"",""
"75","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","FD",2,"CA2","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","","BK","",NA,NA,"",""
"76","Training + Training","15-140C","Good","No","15-140D","NoConflict","Trained","FE",1,"CA2","trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/24/15","RMH","",NA,NA,"",""
"77","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FR",1,"CA4","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"78","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FS",2,"CA4","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"79","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FT",2,"CA3","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"80","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FU",2,"CA3","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"81","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FV",1,"CA3","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"82","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FW",1,"DG","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"83","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FY",2,"DG","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"84","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","FZ",2,"CA2","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"85","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","GA",1,"CA2","trained","","","NEW COLLECTION METHOD!!","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"86","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","GB",1,"CA1","trained","","",". NEW COLLECTION METHOD!! Dried out","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"87","Training + Training","15-141C","Bad","No","15-141D","NoConflict","Trained","GC",2,"CA1","trained","","",". NEW COLLECTION METHOD!! Dried out","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"88","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EC",1,"DG","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"89","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","ED",2,"DG","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"90","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EF",3,"DG","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"91","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EG",4,"DG","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"92","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EH",4,"CA1","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"93","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EI",3,"CA1","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"94","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EJ",2,"CA1","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"95","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EK",1,"CA1","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"96","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EL",2,"CA3","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"97","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EM",1,"CA3","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"98","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EN",3,"CA3","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"99","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EO",4,"CA3","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"100","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EP",4,"CA2","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"101","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","EQ",3,"CA2","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"102","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","ER",2,"CA2","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","6/19/15","","",NA,NA,"",""
"103","Yoked + Conflict","15-140B","Good","No","15-140A","Conflict","Yoked","ES",1,"CA2","yoked to conflict","","","","6/18/15","","MK","RMH","300",250,"outside cell body","","","",NA,NA,"",""
"104","Yoked + Conflict","15-141B","Bad","No","15-141A","Conflict","Yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",""
"105","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FF",1,"CA2","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/25/15","BK","",NA,NA,"",""
"106","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FG",2,"CA2","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"107","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FH",3,"CA2","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"108","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FI",3,"CA3","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"109","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FJ",2,"CA3","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"110","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FK",1,"CA3","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/25/15","BK","",NA,NA,"",""
"111","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FL",1,"CA1","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/25/15","BK","",NA,NA,"",""
"112","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FM",2,"CA1","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"113","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FN",3,"CA1","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"114","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FO",3,"DG","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"115","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FP",2,"DG","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","9/1/15","BK","",NA,NA,"",""
"116","Yoked + Training","15-140D","Good","No","15-140C","NoConflict","Yoked","FQ",1,"DG","yoked to trained","","","","6/19/15","","MK","RMH","300",250,"outside cell body","8/25/15","BK","",NA,NA,"",""
"117","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GD",1,"CA2","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"118","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GE",2,"CA2","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"119","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GF",3,"CA2","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"120","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GG",3,"CA1","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"121","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GH",2,"CA1","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"122","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GI",1,"CA1","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"123","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GJ",1,"CA4","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"124","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GK",2,"CA4","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"125","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GL",3,"CA4","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"126","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GM",3,"CA3","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"127","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GN",2,"CA3","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"128","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GO",1,"CA3","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"129","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GP",1,"DG","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"130","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GQ",2,"DG","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"131","Yoked + Training","15-141D","Bad","No","15-141C","NoConflict","Yoked","GR",2,"DG","yoked to trained","","","","6/26/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"132","No Training","15-147","Cage","Yes",NA,"Control","Control","VJ",1,"CA1","homecage","slice photos","","","7/27/15","","MK","RMH","300",250,"Centered on cell layer","","","82",NA,NA,"",""
"133","No Training","15-147","Cage","Yes",NA,"Control","Control","VK",2,"CA1","homecage","slice photos","","","7/27/15","","MK","RMH","300",250,"Centered on cell layer","","","74",74,6,"",""
"134","No Training","15-147","Cage","Yes",NA,"Control","Control","VL",3,"CA1","homecage","slice photos","","","7/27/15","","MK","RMH","300",250,"Centered on cell layer","","","70",NA,NA,"",""
"135","No Training","15-147","Cage","Yes",NA,"Control","Control","VM",4,"CA1","homecage","slice photos","","","7/27/15","","MK","RMH","300",250,"Centered on cell layer","","","75",NA,NA,"",""
"136","No Training","15-147","Cage","Yes",NA,"Control","Control","VN",1,"DG","homecage","slice photos","","","7/27/15","","MK","RMH","300",250,"Centered on cell layer","","","82",NA,NA,"",""
