Tube,RNAseqID,Paradigm,Mouse,Behavior,E.phy,Punch,Slice,location,jobnumber,Random
AFR,101-CA3-4,Maddy + Dissociate,15-101,None,None,CA3,4,1,JA16---,37
SB,146C-CA1-4,Training + Training,15-146C,Good,Yes,CA1,4,74,JA16---,38
OV,145B-DG-1,Yoked + Conflict,15-145B,Good,Yes,DG,1,75,JA16---,39
AEK,100-CA1-3,Maddy + Punch,15-100,None,None,CA1,3,1,JA16---,40
RF,146B-DG-2,Yoked + Conflict,15-146B,Good,Yes,DG,2,75,JA16---,41
AAA,148A-DG-3,Training + Conflict,15-148A,Good,Yes,DG,3,75,JA16---,42
RB,146B-CA1-2,Yoked + Conflict,15-146B,Good,Yes,CA1,2,75,JA16---,43
AFT,101-DG-4,Maddy + Dissociate,15-101,None,None,DG,4,1,JA16---,44
NX,145A-CA3-2,Training + Conflict,15-145A,Good,Yes,CA3,2,2,JA16---,45
XL,147C-CA1-3,Training + Training,15-147C,Good,Yes,CA1,3,75,JA16---,46
MH,144A-DG-2,Training + Conflict,15-144A,Good,Yes,DG,2,2,JA16---,47
AEC,100-CA3-1,Maddy + Punch,15-100,None,None,CA3,1,1,JA16---,48
,,,,,,,,,,
,,,,,,,,,,
Tube,RNAseqID,Paradigm,Mouse,Behavior,E.phy,Punch,Slice,location,jobnumber,Random
ABE,148B-CA1-4,Yoked + Conflict,15-148B,Good,Yes,CA1,4,75,JA16---,49
JH,143A-DG-1,Training + Conflict,15-143A,Good,Yes,DG,1,1,JA16---,50
MR,144D-CA1-2,Yoked + Training,15-144D,Good,Yes,CA1,2,2,JA16---,51
ABM,148B-DG-4,Yoked + Conflict,15-148B,Good,Yes,DG,4,75,JA16---,52
OA,145A-DG-2,Training + Conflict,15-145A,Good,Yes,DG,2,2,JA16---,53
SU,146D-CA3-3,Yoked + Training,15-146D,Good,Yes,CA3,3,74,JA16---,54
ML,144A-CA3-2,Training + Conflict,15-144A,Good,Yes,CA3,2,2,JA16---,55
AAD,148A-CA1-3,Training + Conflict,15-148A,Good,Yes,CA1,3,75,JA16---,56
VM,147-CA1-4,No Training,15-147,Cage,Yes,CA1,4,75,JA16---,57
AFH,101-CA3-2,Maddy + Dissociate,15-101,None,None,CA3,2,1,JA16---,58
MD,144B-DG-1,Yoked + Conflict,15-144B,Good,Yes,DG,1,1,JA16---,59
LN,144B-CA3-1,Yoked + Conflict,15-144B,Good,Yes,CA3,1,1,JA16---,60
XI,147C-CA3-3,Training + Training,15-147C,Good,Yes,CA3,3,75,JA16---,61
AEA,100-CA1-1,Maddy + Punch,15-100,None,None,CA1,1,1,JA16---,62
AEF ,100-CA1-2,Maddy + Punch,15-100,None,None,CA1,2,1,JA16---,63
OD,145A-CA1-2,Training + Conflict,15-145A,Good,Yes,CA1,2,2,JA16---,64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tube,RNAseqID,Paradigm,Mouse,Behavior,E.phy,Punch,Slice,location,jobnumber,Random
WI,148-CA3-2,No Training,15-148,Cage,Yes,CA3,2,77,JA16---,65
TG,146D-DG-3,Yoked + Training,15-146D,Good,Yes,DG,3,74,JA16---,66
AEO,101-DG-3,Maddy + Punch,15-100,None,None,DG,3,1,JA16---,67
AFJ,101-DG-2,Maddy + Dissociate,15-101,None,None,DG,2,1,JA16---,68
JS,143B-CA3-1,Yoked + Conflict,15-143B,Good,Yes,CA3,1,1,JA16---,69
SF,146C-CA3-4,Training + Training,15-146C,Good,Yes,CA3,4,74,JA16---,70
NB,144D-DG-2,Yoked + Training,15-144D,Good,Yes,DG,2,2,JA16---,71
KF,143D-CA1-3,Yoked + Training,15-143D,Good,Yes,CA1,3,3,JA16---,72
MP,144A-CA1-2,Training + Conflict,15-144A,Good,Yes,CA1,2,2,JA16---,73
KL,143D-CA3-3,Yoked + Training,15-143D,Good,Yes,CA3,3,3,JA16---,74
VQ,147-DG-4,No Training,15-147,Cage,Yes,DG,4,75,JA16---,75
JZ,143B-DG-1,Yoked + Conflict,15-143B,Good,Yes,DG,1,1,JA16---,76
JG,143A-CA3-1,Training + Conflict,15-143A,Good,Yes,CA3,1,1,JA16---,77
